ts_us,ch2_mv,ch3_mv
4335194445,370.026,356.299
4335195934,370.026,356.299
4335197444,370.026,356.299
4335198931,370.026,356.299
4335200445,370.026,356.299
4335201937,370.026,356.299
4335203433,370.026,356.299
4335204934,370.026,356.299
4335206458,370.026,356.299
4335207934,370.026,356.299
4335209401,370.026,356.299
4335210869,370.026,356.299
4335212350,370.026,356.299
4335213792,370.026,356.299
4335215290,370.026,356.299
4335216742,370.026,356.299
4335218228,370.026,356.299
4335219709,370.026,356.299
4335221203,370.026,356.299
4335222717,370.026,356.299
4335224192,370.026,356.299
4335225673,370.026,356.299
4335227151,370.026,356.299
4335228646,370.026,356.299
4335230135,370.026,356.299
4335231633,370.026,356.299
4335233099,370.026,356.299
4335234634,370.026,356.299
4335236101,370.026,356.299
4335237633,370.026,356.299
4335239083,370.026,356.299
4335240547,370.026,356.299
4335242040,370.026,356.299
4335243510,370.026,356.299
4335244996,370.026,356.299
4335246483,370.026,356.299
4335247961,370.026,356.299
4335249458,370.026,356.299
4335250958,370.026,356.299
4335252448,370.026,356.299
4335253963,370.026,356.299
4335255458,370.026,356.299
4335256959,370.026,356.299
4335258450,370.026,356.299
4335259959,370.026,356.299
4335261450,370.026,356.299
4335262961,370.026,356.299
4335264461,370.026,356.299
4335265965,370.026,356.299
4335267459,370.026,356.299
4335268960,370.026,356.299
4335270448,370.026,356.299
4335271961,370.026,356.299
4335273452,370.026,356.299
4335274961,370.026,356.299
4335276449,370.026,356.299
4335277959,370.026,356.299
4335279461,370.026,356.299
4335280962,370.026,356.299
4335282490,370.026,356.299
4335283963,370.026,356.299
4335285459,370.026,356.299
4335286960,370.026,356.299
4335288461,370.026,356.299
4335289962,370.026,356.299
4335291462,370.026,356.299
4335292962,370.026,356.299
4335294459,370.026,356.299
4335295935,370.026,356.299
4335297434,370.026,356.299
4335298935,370.026,356.299
4335300437,370.026,356.299
4335301936,370.026,356.299
4335303436,370.026,356.299
4335304936,370.026,356.299
4335306438,370.026,356.299
4335307935,370.026,356.299
4335309452,370.026,356.299
4335310936,370.026,356.299
4335312436,370.026,356.299
4335313940,370.026,356.299
4335315439,370.026,356.299
4335316937,370.026,356.299
4335318436,370.026,356.299
4335319937,370.026,356.299
4335321436,370.026,356.299
4335322935,370.026,356.299
4335324435,370.026,356.299
4335325934,370.026,356.299
4335327448,370.026,356.299
4335328942,370.026,356.299
4335330441,370.026,356.299
4335331934,370.026,356.299
4335333449,370.026,356.299
4335334937,370.026,356.299
4335336450,370.026,356.299
4335337936,370.026,356.299
4335339451,370.026,356.299
4335340937,370.026,356.299
4335342437,370.026,356.299
4335343937,370.026,356.299
4335345435,370.026,356.299
4335346935,370.026,356.299
4335348448,370.026,356.299
4335349934,370.026,356.299
4335351447,370.026,356.299
4335352935,370.026,356.299
4335354434,370.026,356.299
4335355938,370.026,356.299
4335357417,370.026,356.299
4335358961,370.026,356.299
4335360450,370.026,356.299
4335361941,370.026,356.299
4335363436,370.026,356.299
4335364959,370.026,356.299
4335366450,370.026,356.299
4335367960,370.026,356.299
4335369451,370.026,356.299
4335370961,370.026,356.299
4335372462,370.026,356.299
4335373963,370.026,356.299
4335375463,370.026,356.299
4335376964,370.026,356.299
4335378459,370.026,356.299
4335379963,370.026,356.299
4335381461,370.026,356.299
4335382964,370.026,356.299
4335384460,370.026,356.299
4335385960,370.026,356.299
4335387452,370.026,356.299
4335388964,370.026,356.299
4335390460,370.026,356.299
4335391964,370.026,356.299
4335393461,370.026,356.299
4335394959,370.026,356.299
4335396454,370.026,356.299
4335397962,370.026,356.299
4335399461,370.026,356.299
4335400961,370.026,356.299
4335402452,370.026,356.299
4335403959,370.026,356.299
4335405449,370.026,356.299
4335406960,370.026,356.299
4335408446,370.026,356.299
4335409966,370.026,356.299
4335411460,370.026,356.299
4335412961,370.026,356.299
4335414452,370.026,356.299
4335415965,370.026,356.299
4335417462,370.026,356.299
4335418959,370.026,356.299
4335420445,370.026,356.299
4335421938,370.026,356.299
4335423460,370.026,356.299
4335424934,370.026,356.299
4335426446,370.026,356.299
4335427936,370.026,356.299
4335429450,370.026,356.299
4335430935,370.026,356.299
4335432453,370.026,356.299
4335433935,370.026,356.299
4335435451,370.026,356.299
4335436938,370.026,356.299
4335438443,370.026,356.299
4335439934,370.026,356.299
4335441448,370.026,356.299
4335442938,370.026,356.299
4335444437,370.026,356.299
4335445934,370.026,356.299
4335447433,370.026,356.299
4335448935,370.026,356.299
4335450432,370.026,356.299
4335451935,370.026,356.299
4335453451,370.026,356.299
4335454934,370.026,356.299
4335456450,370.026,356.299
4335457940,370.026,356.299
4335459437,370.026,356.299
4335460935,370.026,356.299
